Source apportionment for 150 cities
commit 6a045405445885d5976afee7b0f674567d072dd9
emissions cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/BC_emi_PM25_Y_SNAP.nc
concentrations cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/BC_conc_PM25_Y_emep.nc
model folder = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_emep;PM25;Graz;Graz_FUA;10;NH3;2.818522e-01;2.790555e+00;1.631346e-04;1.010022e+01;1.409261e-01;8.638640e+02
sherpa_emep;PM25;Graz;Graz_FUA;10;NMVOC;1.865037e-05;1.846532e-04;6.638387e-06;1.010022e+01;9.325186e-06;1.404737e+00
sherpa_emep;PM25;Graz;Graz_FUA;10;NOx;2.396763e-06;2.372982e-05;2.913044e-05;1.010022e+01;1.198382e-06;4.113846e-02
sherpa_emep;PM25;Graz;Graz_FUA;10;PPM;8.866097e-03;8.778125e-02;3.405889e-04;1.010022e+01;4.433049e-03;1.301583e+01
sherpa_emep;PM25;Graz;Graz_FUA;10;SOx;8.006482e-06;7.927040e-05;9.912486e-05;1.010022e+01;4.003241e-06;4.038584e-02
sherpa_emep;PM25;Graz;Graz_FUA;1;NH3;8.816715e-03;8.729234e-02;4.931149e-04;1.010022e+01;4.408358e-03;8.939819e+00
sherpa_emep;PM25;Graz;Graz_FUA;1;NMVOC;1.377021e-03;1.363358e-02;1.690663e-05;1.010022e+01;6.885106e-04;4.072430e+01
sherpa_emep;PM25;Graz;Graz_FUA;1;NOx;1.115082e-01;1.104018e+00;8.074996e-05;1.010022e+01;5.575410e-02;6.904536e+02
sherpa_emep;PM25;Graz;Graz_FUA;1;PPM;2.916604e-02;2.887665e-01;8.421571e-04;1.010022e+01;1.458302e-02;1.731627e+01
sherpa_emep;PM25;Graz;Graz_FUA;1;SOx;7.421846e-02;7.348204e-01;2.464916e-04;1.010022e+01;3.710923e-02;1.505497e+02
sherpa_emep;PM25;Graz;Graz_FUA;2;NH3;4.017793e-02;3.977927e-01;7.307015e-04;1.010022e+01;2.008896e-02;2.749271e+01
sherpa_emep;PM25;Graz;Graz_FUA;2;NMVOC;1.526964e-02;1.511813e-01;1.146758e-05;1.010022e+01;7.634821e-03;6.657742e+02
sherpa_emep;PM25;Graz;Graz_FUA;2;NOx;8.950753e-02;8.861941e-01;1.144199e-04;1.010022e+01;4.475376e-02;3.911361e+02
sherpa_emep;PM25;Graz;Graz_FUA;2;PPM;2.191884e-01;2.170135e+00;6.163292e-04;1.010022e+01;1.095942e-01;1.778176e+02
sherpa_emep;PM25;Graz;Graz_FUA;2;SOx;7.499440e-02;7.425029e-01;3.711155e-04;1.010022e+01;3.749720e-02;1.010392e+02
sherpa_emep;PM25;Graz;Graz_FUA;3;NH3;1.442937e-02;1.428620e-01;6.525850e-04;1.010022e+01;7.214687e-03;1.105555e+01
sherpa_emep;PM25;Graz;Graz_FUA;3;NMVOC;5.353174e-03;5.300058e-02;2.566338e-05;1.010022e+01;2.676587e-03;1.042960e+02
sherpa_emep;PM25;Graz;Graz_FUA;3;NOx;1.090321e-01;1.079503e+00;1.062327e-04;1.010022e+01;5.451606e-02;5.131759e+02
sherpa_emep;PM25;Graz;Graz_FUA;3;PPM;8.211046e-02;8.129574e-01;1.372408e-03;1.010022e+01;4.105523e-02;2.991475e+01
sherpa_emep;PM25;Graz;Graz_FUA;3;SOx;2.085054e-01;2.064366e+00;3.653762e-04;1.010022e+01;1.042527e-01;2.853298e+02
sherpa_emep;PM25;Graz;Graz_FUA;4;NH3;3.241237e-09;3.209076e-08;7.146271e-05;1.010022e+01;1.620618e-09;2.267782e-05
sherpa_emep;PM25;Graz;Graz_FUA;4;NMVOC;1.096051e-02;1.085175e-01;2.561950e-05;1.010022e+01;5.480254e-03;2.139095e+02
sherpa_emep;PM25;Graz;Graz_FUA;4;NOx;5.784240e-03;5.726848e-02;9.980507e-05;1.010022e+01;2.892120e-03;2.897769e+01
sherpa_emep;PM25;Graz;Graz_FUA;4;PPM;1.495957e-01;1.481114e+00;1.265755e-03;1.010022e+01;7.479784e-02;5.909345e+01
sherpa_emep;PM25;Graz;Graz_FUA;4;SOx;7.686357e-03;7.610091e-02;3.628522e-04;1.010022e+01;3.843179e-03;1.059158e+01
sherpa_emep;PM25;Graz;Graz_FUA;5;NH3;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;5;NMVOC;1.567930e-03;1.552372e-02;1.762677e-05;1.010022e+01;7.839648e-04;4.447581e+01
sherpa_emep;PM25;Graz;Graz_FUA;5;NOx;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;5;PPM;3.032766e-07;3.002674e-06;1.469022e-03;1.010022e+01;1.516383e-07;1.032240e-04
sherpa_emep;PM25;Graz;Graz_FUA;5;SOx;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;6;NH3;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;6;NMVOC;1.350500e-01;1.337100e+00;2.828401e-05;1.010022e+01;6.752498e-02;2.387391e+03
sherpa_emep;PM25;Graz;Graz_FUA;6;NOx;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;6;PPM;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
sherpa_emep;PM25;Graz;Graz_FUA;6;SOx;0.000000e+00;0.000000e+00;nan;1.010022e+01;0.000000e+00;nan
